sample,internal_mode_integral,relative_methanol_amount_vs_nominal_2pc
Nominal 2%,36.78742894222299,1.0
Nominal 4%,210.22187887722293,5.714503158331338
Nominal 8%,571.5842228672229,15.537487650059278
