X_cm-1,subtracted_Y,subtracted_E,loaded_raw_Y,loaded_raw_E,empty_smoothed_Y,empty_smoothed_E
-2.010340000000000060e+01,2.184629999999999905e-03,2.784691531606328565e-03,1.046960000000000078e-02,2.510420000000000186e-03,8.284970000000000875e-03,1.205113417815933171e-03
-1.998239999999999839e+01,3.597025000000014100e-04,2.429301169279449429e-03,8.211970000000000727e-03,2.207530000000000082e-03,7.852267499999999317e-03,1.014058908625381722e-03
-1.986139999999999972e+01,2.379356000000000873e-03,2.642301955997459692e-03,1.023899999999999984e-02,2.481520000000000080e-03,7.859643999999998965e-03,9.076442674682631264e-04
-1.974040000000000106e+01,1.820383999999999544e-03,2.578999288256590694e-03,9.700369999999999826e-03,2.412930000000000196e-03,7.879986000000000282e-03,9.104977451526170395e-04
-1.961939999999999884e+01,6.666775999999999258e-03,2.994026157198363593e-03,1.368989999999999964e-02,2.868279999999999962e-03,7.023124000000000380e-03,8.585816627368651408e-04
-1.949849999999999994e+01,6.838119999999999615e-03,3.039400625772127520e-03,1.396219999999999926e-02,2.913240000000000100e-03,7.124079999999999649e-03,8.665961379697004110e-04
-1.937750000000000128e+01,8.177499999999999006e-04,2.426653195783031250e-03,8.430550000000000196e-03,2.254449999999999857e-03,7.612800000000000296e-03,8.978312369838778104e-04
-1.925649999999999906e+01,5.611521999999998997e-03,2.968279074447684011e-03,1.325259999999999980e-02,2.828030000000000040e-03,7.641078000000000800e-03,9.016246352579325874e-04
-1.913550000000000040e+01,7.191075999999999371e-03,3.224116168993294580e-03,1.569579999999999934e-02,3.080499999999999905e-03,8.504723999999999964e-03,9.515486436141874218e-04
-1.901450000000000173e+01,7.673628000000000046e-03,3.354948879915161525e-03,1.694410000000000013e-02,3.204119999999999972e-03,9.270472000000000087e-03,9.946341098333597378e-04
-1.889349999999999952e+01,1.004075800000000206e-02,3.619908785617670984e-03,1.970660000000000120e-02,3.474430000000000140e-03,9.665841999999999143e-03,1.015911310741247821e-03
-1.877260000000000062e+01,4.221469999999999737e-03,3.104407401820837454e-03,1.431600000000000060e-02,2.925070000000000101e-03,1.009453000000000086e-02,1.039860957811187441e-03
-1.865159999999999840e+01,3.562657999999998062e-03,3.150066671548397597e-03,1.444409999999999965e-02,2.959770000000000022e-03,1.088144200000000159e-02,1.078277136129668617e-03
-1.853059999999999974e+01,1.157225800000000193e-02,3.823696614190514112e-03,2.202240000000000100e-02,3.674520000000000130e-03,1.045014199999999907e-02,1.057619292076312448e-03
-1.840960000000000107e+01,3.835960000000001105e-03,3.329256891961327337e-03,1.594440000000000093e-02,3.128479999999999889e-03,1.210843999999999983e-02,1.138667792761347995e-03
-1.828859999999999886e+01,6.431264000000000772e-03,3.499522782662230300e-03,1.807399999999999979e-02,3.316130000000000033e-03,1.164273599999999902e-02,1.118007839629043014e-03
-1.816760000000000019e+01,9.565863999999998576e-03,3.778379067280570984e-03,2.138999999999999929e-02,3.606799999999999850e-03,1.182413600000000072e-02,1.125674080746287813e-03
-1.804670000000000130e+01,9.743643999999999222e-03,3.822920468322091661e-03,2.158730000000000024e-02,3.652620000000000085e-03,1.184365600000000102e-02,1.128312032514055705e-03
-1.792569999999999908e+01,3.484654000000000224e-03,3.259197777760042703e-03,1.522410000000000083e-02,3.059169999999999945e-03,1.173944600000000060e-02,1.124210418763320297e-03
-1.780470000000000041e+01,1.542503399999999893e-02,4.147172098331102993e-03,2.609059999999999852e-02,4.005650000000000356e-03,1.066556599999999959e-02,1.074152917733783375e-03
-1.768370000000000175e+01,1.378739000000000006e-02,4.062183322330000824e-03,2.487750000000000031e-02,3.911069999999999998e-03,1.109011000000000025e-02,1.097663336053455053e-03
-1.756269999999999953e+01,8.369629999999999431e-03,3.647856137309145493e-03,1.948180000000000051e-02,3.477829999999999897e-03,1.111217000000000107e-02,1.100705632584843231e-03
-1.744170000000000087e+01,1.164657000000000192e-02,4.005447986683137625e-03,2.384090000000000167e-02,3.835489999999999993e-03,1.219432999999999975e-02,1.154395960632226010e-03
-1.732079999999999842e+01,1.397720000000000212e-02,4.210682877253047428e-03,2.637530000000000083e-02,4.046019999999999998e-03,1.239809999999999870e-02,1.166007055035260141e-03
-1.719979999999999976e+01,1.754282000000000064e-02,4.494668408782120407e-03,3.020449999999999871e-02,4.337899999999999569e-03,1.266167999999999981e-02,1.176719038217704724e-03
-1.707880000000000109e+01,1.259773999999999790e-02,4.231364151630534996e-03,2.648729999999999835e-02,4.048569999999999600e-03,1.388956000000000045e-02,1.230253444947015809e-03
