X_cm-1,subtracted_Y,subtracted_E,loaded_raw_Y,loaded_raw_E,empty_smoothed_Y,empty_smoothed_E
-2.010340000000000060e+01,1.533479999999998525e-03,1.881705258190027961e-03,9.818449999999999400e-03,1.445169999999999962e-03,8.284970000000000875e-03,1.205113417815933171e-03
-1.998239999999999839e+01,-7.704574999999993026e-04,1.588670278900722538e-03,7.081810000000000015e-03,1.222929999999999894e-03,7.852267499999999317e-03,1.014058908625381722e-03
-1.986139999999999972e+01,9.996655999999999598e-03,2.161654924627887976e-03,1.785629999999999856e-02,1.961870000000000107e-03,7.859643999999998965e-03,9.076442674682631264e-04
-1.974040000000000106e+01,1.012281399999999908e-02,2.161630128936955619e-03,1.800279999999999936e-02,1.960519999999999884e-03,7.879986000000000282e-03,9.104977451526170395e-04
-1.961939999999999884e+01,6.039476000000000219e-03,1.882273883920190793e-03,1.306260000000000060e-02,1.675049999999999976e-03,7.023124000000000380e-03,8.585816627368651408e-04
-1.949849999999999994e+01,5.591320000000000318e-03,1.861454933981481147e-03,1.271539999999999997e-02,1.647430000000000075e-03,7.124079999999999649e-03,8.665961379697004110e-04
-1.937750000000000128e+01,5.256400000000000482e-03,1.885039530143598971e-03,1.286920000000000078e-02,1.657489999999999962e-03,7.612800000000000296e-03,8.978312369838778104e-04
-1.925649999999999906e+01,1.835022199999999937e-02,2.529337204744357311e-03,2.599129999999999843e-02,2.363179999999999881e-03,7.641078000000000800e-03,9.016246352579325874e-04
-1.913550000000000040e+01,3.873975999999999462e-03,1.887745683497647287e-03,1.237869999999999943e-02,1.630380000000000067e-03,8.504723999999999964e-03,9.515486436141874218e-04
-1.901450000000000173e+01,1.993928000000000714e-03,1.843871951205939717e-03,1.126440000000000080e-02,1.552599999999999900e-03,9.270472000000000087e-03,9.946341098333597378e-04
-1.889349999999999952e+01,6.945658000000002122e-03,2.146271642498218633e-03,1.661150000000000126e-02,1.890610000000000034e-03,9.665841999999999143e-03,1.015911310741247821e-03
-1.877260000000000062e+01,2.070869999999998962e-03,1.916463212268892111e-03,1.216539999999999982e-02,1.609820000000000088e-03,1.009453000000000086e-02,1.039860957811187441e-03
-1.865159999999999840e+01,1.272757999999998835e-03,1.941491360578254154e-03,1.215420000000000042e-02,1.614530000000000088e-03,1.088144200000000159e-02,1.078277136129668617e-03
-1.853059999999999974e+01,5.056858000000000880e-03,2.112658051808668797e-03,1.550699999999999995e-02,1.828870000000000018e-03,1.045014199999999907e-02,1.057619292076312448e-03
-1.840960000000000107e+01,1.365560000000000038e-03,2.052811074081587091e-03,1.347399999999999987e-02,1.708059999999999960e-03,1.210843999999999983e-02,1.138667792761347995e-03
-1.828859999999999886e+01,2.436164000000001079e-03,2.074198625848546786e-03,1.407890000000000010e-02,1.747099999999999912e-03,1.164273599999999902e-02,1.118007839629043014e-03
-1.816760000000000019e+01,6.842363999999998350e-03,2.302244707771960563e-03,1.866649999999999907e-02,2.008279999999999874e-03,1.182413600000000072e-02,1.125674080746287813e-03
