X_cm-1,raw_Y,raw_E,smoothed_Y,smoothed_E,effective_window_points
-1.405419999999999980e+01,6.636699999999999544e-02,6.254440000000000000e-03,7.346902000000000987e-02,2.938402157422976245e-03,5.000000000000000000e+00
-1.393319999999999936e+01,7.616599999999999759e-02,6.677889999999999694e-03,7.938209999999999711e-02,3.053075535903427250e-03,5.000000000000000000e+00
-1.381220000000000070e+01,8.595510000000000650e-02,7.111819999999999600e-03,8.439800000000000080e-02,3.149345624012073793e-03,5.000000000000000000e+00
-1.369130000000000003e+01,9.840640000000000498e-02,7.583610000000000177e-03,9.334459999999999980e-02,3.313558636714310918e-03,5.000000000000000000e+00
-1.357029999999999959e+01,9.509549999999999947e-02,7.493869999999999698e-03,9.782566000000000872e-02,3.392639144311696518e-03,5.000000000000000000e+00
-1.344929999999999914e+01,1.111000000000000043e-01,8.102490000000000386e-03,1.037846400000000113e-01,3.494637392117242412e-03,5.000000000000000000e+00
-1.332830000000000048e+01,9.857130000000000059e-02,7.606080000000000306e-03,1.040090200000000076e-01,3.500337628458146701e-03,5.000000000000000000e+00
-1.320730000000000004e+01,1.157500000000000057e-01,8.254710000000000172e-03,1.069155200000000000e-01,3.547318872327098836e-03,5.000000000000000000e+00
-1.308629999999999960e+01,9.952830000000000010e-02,7.649050000000000120e-03,1.078591200000000028e-01,3.562670952181803876e-03,5.000000000000000000e+00
-1.296540000000000070e+01,1.096280000000000032e-01,8.027190000000000020e-03,1.126232599999999751e-01,3.641017946531436428e-03,5.000000000000000000e+00
-1.284440000000000026e+01,1.158180000000000043e-01,8.269169999999999299e-03,1.143282600000000010e-01,3.669585845334047934e-03,5.000000000000000000e+00
-1.272339999999999982e+01,1.223920000000000008e-01,8.483050000000000659e-03,1.196336000000000066e-01,3.756679195228147198e-03,5.000000000000000000e+00
-1.260239999999999938e+01,1.242749999999999966e-01,8.565130000000000660e-03,1.224210000000000020e-01,3.800702981786395658e-03,5.000000000000000000e+00
-1.248140000000000072e+01,1.260550000000000004e-01,8.641609999999999223e-03,1.248203999999999841e-01,3.837204208011348906e-03,5.000000000000000000e+00
-1.236040000000000028e+01,1.235649999999999943e-01,8.529560000000000267e-03,1.269505999999999968e-01,3.870257160848100675e-03,5.000000000000000000e+00
-1.223949999999999960e+01,1.278150000000000119e-01,8.680379999999999693e-03,1.302631999999999957e-01,3.922017664909733907e-03,5.000000000000000000e+00
-1.211849999999999916e+01,1.330429999999999946e-01,8.850480000000000846e-03,1.316365999999999925e-01,3.942609228302496396e-03,5.000000000000000000e+00
-1.199750000000000050e+01,1.408379999999999910e-01,9.134810000000000152e-03,1.349226000000000036e-01,3.992778916362888127e-03,5.000000000000000000e+00
-1.187650000000000006e+01,1.329220000000000124e-01,8.872770000000000309e-03,1.403745999999999883e-01,4.073942088637981171e-03,5.000000000000000000e+00
-1.175549999999999962e+01,1.399950000000000083e-01,9.094299999999999606e-03,1.459919999999999829e-01,4.155030150607814075e-03,5.000000000000000000e+00
-1.163449999999999918e+01,1.550749999999999906e-01,9.576899999999999302e-03,1.489921999999999913e-01,4.195059291661084287e-03,5.000000000000000000e+00
-1.151360000000000028e+01,1.611299999999999955e-01,9.747449999999999518e-03,1.499300000000000077e-01,4.207061503136363088e-03,5.000000000000000000e+00
-1.139259999999999984e+01,1.558390000000000053e-01,9.581279999999999311e-03,1.535953999999999930e-01,4.260593699529678993e-03,5.000000000000000000e+00
-1.127159999999999940e+01,1.376110000000000111e-01,9.013719999999999372e-03,1.549291999999999891e-01,4.278682211834386635e-03,5.000000000000000000e+00
-1.115060000000000073e+01,1.583219999999999905e-01,9.697350000000000414e-03,1.544357999999999842e-01,4.274471946754593299e-03,5.000000000000000000e+00
-1.102960000000000029e+01,1.617439999999999989e-01,9.776429999999999149e-03,1.585621999999999865e-01,4.333320144145363928e-03,5.000000000000000000e+00
-1.090859999999999985e+01,1.586629999999999985e-01,9.701160000000000339e-03,1.710122000000000031e-01,4.504136250883181147e-03,5.000000000000000000e+00
-1.078769999999999918e+01,1.764709999999999890e-01,1.022080000000000037e-02,1.766668000000000127e-01,4.579388282425939614e-03,5.000000000000000000e+00
-1.066670000000000051e+01,1.998610000000000109e-01,1.090810000000000043e-02,1.793819999999999859e-01,4.615726380866180291e-03,5.000000000000000000e+00
-1.054570000000000007e+01,1.865950000000000109e-01,1.054169999999999933e-02,1.885844000000000131e-01,4.733700956630023868e-03,5.000000000000000000e+00
-1.042469999999999963e+01,1.753200000000000036e-01,1.019469999999999925e-02,1.935381999999999936e-01,4.798190476710985711e-03,5.000000000000000000e+00
-1.030369999999999919e+01,2.046749999999999958e-01,1.103119999999999969e-02,1.888985999999999721e-01,4.739207937619956124e-03,5.000000000000000000e+00
-1.018280000000000030e+01,2.012400000000000022e-01,1.094679999999999959e-02,1.942203999999999875e-01,4.805366172811391216e-03,5.000000000000000000e+00
