nominal_label,internal_mode_proxy,approx_corrected_wt_percent,low_freq_peak_position_cm-1,low_freq_peak_height_raw_units
2%,130.69357662222296,3.8902328739258882,52.0292,0.3837961
8% anchor,280.7684654522229,8.0,51.7703,0.90565664
