X_cm-1,subtracted_Y,subtracted_E,loaded_raw_Y,loaded_raw_E,empty_smoothed_Y,empty_smoothed_E
-2.010340000000000060e+01,7.984599999999991010e-04,2.408652859961351970e-03,9.083429999999999976e-03,2.085500000000000114e-03,8.284970000000000875e-03,1.205113417815933171e-03
-1.998239999999999839e+01,-1.631567499999999303e-03,2.002579934150569823e-03,6.220700000000000014e-03,1.726850000000000043e-03,7.852267499999999317e-03,1.014058908625381722e-03
-1.986139999999999972e+01,-1.542433999999998778e-03,1.970691175493512193e-03,6.317210000000000186e-03,1.749230000000000056e-03,7.859643999999998965e-03,9.076442674682631264e-04
-1.974040000000000106e+01,5.899213999999999847e-03,2.726339960464945356e-03,1.377920000000000013e-02,2.569810000000000063e-03,7.879986000000000282e-03,9.104977451526170395e-04
-1.961939999999999884e+01,1.276466000000000406e-03,2.181290814102512191e-03,8.299590000000000786e-03,2.005209999999999892e-03,7.023124000000000380e-03,8.585816627368651408e-04
-1.949849999999999994e+01,7.393720000000001194e-03,2.786966681258317650e-03,1.451780000000000084e-02,2.648810000000000140e-03,7.124079999999999649e-03,8.665961379697004110e-04
-1.937750000000000128e+01,5.752299999999999254e-03,2.685094713730597476e-03,1.336509999999999955e-02,2.530539999999999960e-03,7.612800000000000296e-03,8.978312369838778104e-04
-1.925649999999999906e+01,3.160421999999999537e-03,2.466593560541339037e-03,1.080150000000000034e-02,2.295900000000000024e-03,7.641078000000000800e-03,9.016246352579325874e-04
-1.913550000000000040e+01,2.088237600000000110e-02,3.914581054220744524e-03,2.938709999999999933e-02,3.797169999999999886e-03,8.504723999999999964e-03,9.515486436141874218e-04
-1.901450000000000173e+01,1.179582799999999952e-02,3.368274266942049289e-03,2.106629999999999961e-02,3.218069999999999958e-03,9.270472000000000087e-03,9.946341098333597378e-04
-1.889349999999999952e+01,2.170758000000000063e-03,2.590551183221825263e-03,1.183659999999999921e-02,2.383039999999999898e-03,9.665841999999999143e-03,1.015911310741247821e-03
-1.877260000000000062e+01,3.188657000000000297e-02,4.670695863838706177e-03,4.198110000000000036e-02,4.553469999999999566e-03,1.009453000000000086e-02,1.039860957811187441e-03
-1.865159999999999840e+01,7.284157999999998911e-03,3.167408396575976514e-03,1.816560000000000050e-02,2.978220000000000173e-03,1.088144200000000159e-02,1.078277136129668617e-03
-1.853059999999999974e+01,6.654458000000001983e-03,3.076222725514523443e-03,1.710460000000000105e-02,2.888700000000000122e-03,1.045014199999999907e-02,1.057619292076312448e-03
-1.840960000000000107e+01,1.755145999999999790e-02,3.981228321595232933e-03,2.965989999999999946e-02,3.814919999999999856e-03,1.210843999999999983e-02,1.138667792761347995e-03
-1.828859999999999886e+01,8.186564000000002075e-03,3.320693809789153263e-03,1.982930000000000109e-02,3.126830000000000147e-03,1.164273599999999902e-02,1.118007839629043014e-03
-1.816760000000000019e+01,-1.799360000000003318e-04,2.649228085398462173e-03,1.164420000000000038e-02,2.398180000000000190e-03,1.182413600000000072e-02,1.125674080746287813e-03
-1.804670000000000130e+01,7.301143999999998996e-03,3.271538185443660911e-03,1.914480000000000001e-02,3.070810000000000206e-03,1.184365600000000102e-02,1.128312032514055705e-03
-1.792569999999999908e+01,5.365953999999999169e-03,3.107689301403214303e-03,1.710539999999999977e-02,2.897219999999999830e-03,1.173944600000000060e-02,1.124210418763320297e-03
-1.780470000000000041e+01,4.360634000000000385e-03,2.932881058051280826e-03,1.502619999999999997e-02,2.729099999999999929e-03,1.066556599999999959e-02,1.074152917733783375e-03
-1.768370000000000175e+01,8.762490000000001250e-03,3.319967323169913630e-03,1.985260000000000150e-02,3.133260000000000125e-03,1.109011000000000025e-02,1.097663336053455053e-03
-1.756269999999999953e+01,3.660729999999999193e-03,2.914029222932398508e-03,1.477290000000000027e-02,2.698149999999999854e-03,1.111217000000000107e-02,1.100705632584843231e-03
-1.744170000000000087e+01,1.148236999999999869e-02,3.620794915418988538e-03,2.367669999999999844e-02,3.431839999999999804e-03,1.219432999999999975e-02,1.154395960632226010e-03
-1.732079999999999842e+01,9.792600000000001997e-03,3.534827856175177131e-03,2.219070000000000070e-02,3.336979999999999807e-03,1.239809999999999870e-02,1.166007055035260141e-03
-1.719979999999999976e+01,8.623620000000000244e-03,3.460708458539089351e-03,2.128530000000000005e-02,3.254509999999999955e-03,1.266167999999999981e-02,1.176719038217704724e-03
-1.707880000000000109e+01,9.098339999999998165e-03,3.597740663027839542e-03,2.298789999999999861e-02,3.380859999999999855e-03,1.388956000000000045e-02,1.230253444947015809e-03
-1.695779999999999887e+01,1.204802000000000130e-02,3.906480313022964689e-03,2.719550000000000092e-02,3.687580000000000198e-03,1.514747999999999963e-02,1.289318494258109935e-03
-1.683680000000000021e+01,1.206896000000000357e-02,3.958572764890901964e-03,2.770440000000000055e-02,3.734089999999999805e-03,1.563543999999999698e-02,1.314104336358418732e-03
-1.671580000000000155e+01,1.929418000000000105e-02,4.562952093381651697e-03,3.718880000000000102e-02,4.339879999999999953e-03,1.789461999999999997e-02,1.409245681950453948e-03
-1.659489999999999910e+01,1.694928000000000060e-02,4.561598741355490927e-03,3.669839999999999908e-02,4.313560000000000137e-03,1.974911999999999848e-02,1.483705901968445989e-03
-1.647390000000000043e+01,1.348742000000000343e-02,4.377181400101211664e-03,3.340950000000000170e-02,4.114660000000000019e-03,1.992207999999999826e-02,1.493080739207361049e-03
-1.635290000000000177e+01,1.896994000000000458e-02,4.699083285980362387e-03,3.892140000000000183e-02,4.455449999999999688e-03,1.995145999999999725e-02,1.493435310309757045e-03
-1.623189999999999955e+01,1.569511999999999990e-02,4.510936203865889560e-03,3.552539999999999865e-02,4.258539999999999895e-03,1.983027999999999874e-02,1.487744098878567272e-03
-1.611090000000000089e+01,2.748180000000000067e-02,5.134658712102294943e-03,4.705580000000000179e-02,4.917780000000000068e-03,1.957400000000000112e-02,1.476536474784148492e-03
-1.598990000000000045e+01,2.565852000000000063e-02,5.065050964703908531e-03,4.547960000000000197e-02,4.841739999999999759e-03,1.982108000000000134e-02,1.487378582422108292e-03
-1.586899999999999977e+01,2.681625999999999455e-02,5.225453156640867507e-03,4.854019999999999863e-02,4.987120000000000268e-03,2.172394000000000408e-02,1.560126532640221430e-03
