X_cm-1,subtracted_Y,subtracted_E,loaded_raw_Y,loaded_raw_E,empty_smoothed_Y,empty_smoothed_E
-2.010340000000000060e+01,1.203112999999999926e-02,3.326776974595682407e-03,2.031610000000000013e-02,3.100830000000000166e-03,8.284970000000000875e-03,1.205113417815933171e-03
-1.998239999999999839e+01,9.556432499999999858e-03,3.037800861258436319e-03,1.740869999999999918e-02,2.863549999999999863e-03,7.852267499999999317e-03,1.014058908625381722e-03
-1.986139999999999972e+01,9.349756000000000733e-03,2.993736315236864703e-03,1.720939999999999970e-02,2.852830000000000209e-03,7.859643999999998965e-03,9.076442674682631264e-04
-1.974040000000000106e+01,7.945314000000000196e-03,2.893496729569259782e-03,1.582530000000000048e-02,2.746510000000000184e-03,7.879986000000000282e-03,9.104977451526170395e-04
-1.961939999999999884e+01,1.396767600000000005e-02,3.303764146256206631e-03,2.099080000000000043e-02,3.190249999999999943e-03,7.023124000000000380e-03,8.585816627368651408e-04
-1.949849999999999994e+01,1.228021999999999968e-02,3.153557116787961221e-03,1.940429999999999933e-02,3.032149999999999949e-03,7.124079999999999649e-03,8.665961379697004110e-04
-1.937750000000000128e+01,8.323000000000000537e-03,2.895771979110924391e-03,1.593579999999999997e-02,2.753069999999999823e-03,7.612800000000000296e-03,8.978312369838778104e-04
-1.925649999999999906e+01,1.111272200000000022e-02,3.129973525911042016e-03,1.875380000000000102e-02,2.997300000000000051e-03,7.641078000000000800e-03,9.016246352579325874e-04
-1.913550000000000040e+01,1.309397599999999849e-02,3.340070594577904811e-03,2.159869999999999846e-02,3.201659999999999836e-03,8.504723999999999964e-03,9.515486436141874218e-04
-1.901450000000000173e+01,1.458442799999999824e-02,3.517686420368364587e-03,2.385489999999999833e-02,3.374139999999999865e-03,9.270472000000000087e-03,9.946341098333597378e-04
-1.889349999999999952e+01,8.523058000000001758e-03,3.126581330493739385e-03,1.818890000000000090e-02,2.956929999999999975e-03,9.665841999999999143e-03,1.015911310741247821e-03
-1.877260000000000062e+01,9.324369999999998493e-03,3.233941813264425581e-03,1.941889999999999936e-02,3.062200000000000165e-03,1.009453000000000086e-02,1.039860957811187441e-03
-1.865159999999999840e+01,8.535857999999996865e-03,3.240217010309648631e-03,1.941729999999999845e-02,3.055539999999999819e-03,1.088144200000000159e-02,1.078277136129668617e-03
-1.853059999999999974e+01,7.457358000000000736e-03,3.109244106301722790e-03,1.790749999999999981e-02,2.923840000000000033e-03,1.045014199999999907e-02,1.057619292076312448e-03
-1.840960000000000107e+01,1.763266000000000139e-02,3.968303716598819628e-03,2.974109999999999948e-02,3.801430000000000173e-03,1.210843999999999983e-02,1.138667792761347995e-03
-1.828859999999999886e+01,1.101276399999999954e-02,3.489726214701090092e-03,2.265549999999999856e-02,3.305789999999999857e-03,1.164273599999999902e-02,1.118007839629043014e-03
-1.816760000000000019e+01,1.417016400000000072e-02,3.725188212381221487e-03,2.599430000000000143e-02,3.551040000000000099e-03,1.182413600000000072e-02,1.125674080746287813e-03
-1.804670000000000130e+01,1.652124399999999743e-02,3.885167955329086806e-03,2.836489999999999845e-02,3.717719999999999879e-03,1.184365600000000102e-02,1.128312032514055705e-03
-1.792569999999999908e+01,1.408675399999999994e-02,3.700081362788661555e-03,2.582620000000000055e-02,3.525159999999999839e-03,1.173944600000000060e-02,1.124210418763320297e-03
-1.780470000000000041e+01,1.558083400000000000e-02,3.715113721580538732e-03,2.624639999999999959e-02,3.556440000000000122e-03,1.066556599999999959e-02,1.074152917733783375e-03
-1.768370000000000175e+01,2.258629000000000192e-02,4.192320031225669000e-03,3.367640000000000217e-02,4.046069999999999701e-03,1.109011000000000025e-02,1.097663336053455053e-03
-1.756269999999999953e+01,1.680593000000000017e-02,3.841652722163209962e-03,2.791810000000000125e-02,3.680590000000000077e-03,1.111217000000000107e-02,1.100705632584843231e-03
-1.744170000000000087e+01,1.682776999999999884e-02,3.941233037809867799e-03,2.902209999999999859e-02,3.768379999999999994e-03,1.219432999999999975e-02,1.154395960632226010e-03
-1.732079999999999842e+01,1.389720000000000191e-02,3.776834538074444123e-03,2.629530000000000062e-02,3.592339999999999856e-03,1.239809999999999870e-02,1.166007055035260141e-03
-1.719979999999999976e+01,2.285981999999999598e-02,4.325601021338421580e-03,3.552149999999999752e-02,4.162469999999999712e-03,1.266167999999999981e-02,1.176719038217704724e-03
-1.707880000000000109e+01,2.217353999999999853e-02,4.380168759454823070e-03,3.606310000000000071e-02,4.203850000000000295e-03,1.388956000000000045e-02,1.230253444947015809e-03
-1.695779999999999887e+01,1.743192000000000352e-02,4.213805798056668647e-03,3.257940000000000141e-02,4.011709999999999929e-03,1.514747999999999963e-02,1.289318494258109935e-03
-1.683680000000000021e+01,2.310026000000000093e-02,4.561477880570725257e-03,3.873569999999999791e-02,4.368089999999999820e-03,1.563543999999999698e-02,1.314104336358418732e-03
