nominal_label,internal_mode_proxy,approx_corrected_wt_percent,low_freq_peak_position_cm-1,low_freq_peak_height_raw_units
2%,36.78742894222299,0.5791690541865672,89.1623,0.24831322
4%,210.22187887722293,3.221695184838442,89.6082,0.9335551
8.3% anchor,571.5842228672229,8.3,83.5647,1.95563076
