X_cm-1,subtracted_Y,subtracted_E,pureMeOH_raw_Y,pureMeOH_raw_E,emptyAlcan_Y,emptyAlcan_E
-1.695779999999999887e+01,1.184359000000000106e-02,4.710155607960314628e-03,1.761290000000000078e-02,4.552360000000000087e-03,5.769309999999999716e-03,1.208960000000000026e-03
-1.683680000000000021e+01,1.310904000000000236e-02,4.865760032225181948e-03,1.882210000000000133e-02,4.711840000000000125e-03,5.713059999999999840e-03,1.214159999999999935e-03
-1.671580000000000155e+01,1.566796000000000161e-02,5.197858227356725105e-03,2.141720000000000082e-02,5.051059999999999578e-03,5.749240000000000080e-03,1.226590000000000059e-03
-1.659489999999999910e+01,2.202548999999999826e-02,5.815142370681907619e-03,2.717549999999999827e-02,5.699319999999999907e-03,5.150010000000000004e-03,1.154829999999999919e-03
-1.647390000000000043e+01,1.523093000000000016e-02,5.650816260019432546e-03,2.452980000000000091e-02,5.434020000000000343e-03,9.298870000000000746e-03,1.550209999999999999e-03
-1.635290000000000177e+01,2.426035999999999818e-02,6.318383559400299852e-03,3.129069999999999768e-02,6.172490000000000095e-03,7.030340000000000374e-03,1.349939999999999994e-03
-1.623189999999999955e+01,2.296230000000000146e-02,5.835621930728548956e-03,2.759980000000000072e-02,5.730279999999999922e-03,4.637500000000000129e-03,1.103800000000000050e-03
-1.611090000000000089e+01,2.980094000000000146e-02,6.407295720361594511e-03,3.327340000000000159e-02,6.335160000000000270e-03,3.472460000000000130e-03,9.587419999999999493e-04
-1.598990000000000045e+01,2.751704999999999776e-02,6.679542511714406210e-03,3.510569999999999663e-02,6.530270000000000345e-03,7.588649999999999736e-03,1.404230000000000018e-03
-1.586899999999999977e+01,2.777975000000000236e-02,6.507968921783509157e-03,3.321410000000000334e-02,6.397380000000000254e-03,5.434350000000000118e-03,1.194650000000000009e-03
-1.574799999999999933e+01,2.543360000000000065e-02,6.305721604336810872e-03,3.171840000000000076e-02,6.173750000000000418e-03,6.284800000000000109e-03,1.283330000000000061e-03
-1.562700000000000067e+01,4.300499999999999462e-02,7.890671264537638466e-03,4.964219999999999744e-02,7.778450000000000121e-03,6.637200000000000218e-03,1.326050000000000059e-03
-1.550600000000000023e+01,4.307240999999999848e-02,7.947013399258868321e-03,5.047839999999999966e-02,7.823959999999999596e-03,7.405990000000000316e-03,1.393080000000000099e-03
-1.538499999999999979e+01,3.512433000000000222e-02,7.175895190490173825e-03,4.111030000000000240e-02,7.065400000000000326e-03,5.985970000000000180e-03,1.254429999999999955e-03
-1.526399999999999935e+01,4.291164000000000089e-02,7.844343746024903460e-03,4.908529999999999838e-02,7.741030000000000307e-03,6.173660000000000085e-03,1.268929999999999928e-03
-1.514310000000000045e+01,7.213102999999999876e-02,1.015407383455527168e-02,8.048980000000000024e-02,1.004389999999999970e-02,8.358769999999999742e-03,1.491740000000000080e-03
-1.502210000000000001e+01,8.941550000000000886e-02,1.142846887468308183e-02,1.012620000000000048e-01,1.128909999999999983e-02,1.184649999999999939e-02,1.779360000000000013e-03
-1.490109999999999957e+01,1.063966300000000059e-01,1.211860623347833614e-02,1.154270000000000018e-01,1.201870000000000022e-02,9.030369999999999370e-03,1.552889999999999913e-03
-1.478009999999999913e+01,8.243780000000000552e-02,1.101146153400628207e-02,9.465020000000000377e-02,1.086349999999999989e-02,1.221239999999999999e-02,1.799070000000000053e-03
-1.465910000000000046e+01,9.409531000000000145e-02,1.149568719705350989e-02,1.028550000000000020e-01,1.139309999999999976e-02,8.759690000000000532e-03,1.532350000000000032e-03
-1.453810000000000002e+01,1.107085000000000014e-01,1.262217590809524420e-02,1.236860000000000043e-01,1.248250000000000054e-02,1.297749999999999945e-02,1.872570000000000050e-03
-1.441719999999999935e+01,1.438136000000000136e-01,1.409619016926559436e-02,1.555060000000000053e-01,1.398259999999999954e-02,1.169240000000000036e-02,1.785909999999999928e-03
-1.429620000000000068e+01,1.147234999999999921e-01,1.285629991128474023e-02,1.279099999999999959e-01,1.271560000000000051e-02,1.318650000000000030e-02,1.896829999999999957e-03
-1.417520000000000024e+01,1.312876000000000043e-01,1.347295876903436586e-02,1.425339999999999940e-01,1.335919999999999989e-02,1.124640000000000015e-02,1.747110000000000069e-03
-1.405419999999999980e+01,1.048039000000000054e-01,1.244933280276899062e-02,1.198680000000000023e-01,1.228489999999999964e-02,1.506410000000000041e-02,2.016710000000000117e-03
-1.393319999999999936e+01,1.232578000000000007e-01,1.358319729666031088e-02,1.412039999999999962e-01,1.340279999999999944e-02,1.794619999999999896e-02,2.206399999999999854e-03
-1.381220000000000070e+01,1.402386000000000188e-01,1.425200063754208414e-02,1.573710000000000109e-01,1.408650000000000006e-02,1.713239999999999902e-02,2.165649999999999867e-03
-1.369130000000000003e+01,1.610691000000000206e-01,1.558892093054872058e-02,1.844860000000000111e-01,1.538169999999999989e-02,2.341690000000000091e-02,2.533329999999999870e-03
-1.357029999999999959e+01,2.027090000000000003e-01,1.706386128315921097e-02,2.235520000000000007e-01,1.689529999999999851e-02,2.084300000000000042e-02,2.392529999999999917e-03
-1.344929999999999914e+01,1.928458999999999868e-01,1.657522127744000956e-02,2.115209999999999868e-01,1.641719999999999985e-02,1.867510000000000003e-02,2.283310000000000201e-03
-1.332830000000000048e+01,1.613172000000000217e-01,1.544385137428161067e-02,1.832640000000000102e-01,1.524610000000000028e-02,2.194679999999999895e-02,2.463529999999999800e-03
-1.320730000000000004e+01,2.352100999999999775e-01,1.812221900585300749e-02,2.526749999999999829e-01,1.798920000000000033e-02,1.746489999999999848e-02,2.191690000000000044e-03
-1.308629999999999960e+01,1.904157999999999962e-01,1.644937957372253137e-02,2.090440000000000076e-01,1.629469999999999877e-02,1.862820000000000101e-02,2.250520000000000211e-03
-1.296540000000000070e+01,2.101786999999999961e-01,1.725378251289844123e-02,2.299279999999999935e-01,1.709530000000000077e-02,1.974930000000000088e-02,2.333179999999999803e-03
-1.284440000000000026e+01,1.933490999999999960e-01,1.684754362898045754e-02,2.183259999999999923e-01,1.664209999999999995e-02,2.497689999999999980e-02,2.623020000000000213e-03
-1.272339999999999982e+01,2.175978999999999830e-01,1.756546397209307955e-02,2.391359999999999875e-01,1.739529999999999896e-02,2.153810000000000099e-02,2.439070000000000214e-03
-1.260239999999999938e+01,2.026695000000000024e-01,1.699528187969825965e-02,2.224200000000000066e-01,1.683370000000000005e-02,1.975050000000000069e-02,2.337979999999999919e-03
-1.248140000000000072e+01,2.214782000000000139e-01,1.772015646596835151e-02,2.425930000000000031e-01,1.755429999999999838e-02,2.111479999999999954e-02,2.418780000000000149e-03
-1.236040000000000028e+01,2.434663999999999995e-01,1.830354551692103121e-02,2.607119999999999993e-01,1.817320000000000046e-02,1.724559999999999982e-02,2.180500000000000146e-03
-1.223949999999999960e+01,2.285806999999999978e-01,1.792207467705678181e-02,2.493140000000000078e-01,1.776130000000000070e-02,2.073329999999999965e-02,2.395200000000000107e-03
-1.211849999999999916e+01,3.046579000000000370e-01,2.062688144126736262e-02,3.285410000000000275e-01,2.046620000000000036e-02,2.388310000000000086e-02,2.569609999999999950e-03
-1.199750000000000050e+01,2.582310999999999912e-01,1.917018572710238455e-02,2.846369999999999734e-01,1.897909999999999875e-02,2.640589999999999951e-02,2.699959999999999947e-03
