X_cm-1,subtracted_Y,subtracted_E,loaded_raw_Y,loaded_raw_E,empty_smoothed_Y,empty_smoothed_E
-1.453810000000000002e+01,7.760820000000001606e-03,4.897038402310931356e-03,5.770050000000000179e-02,4.264719999999999622e-03,4.993968000000000018e-02,2.406896016721120964e-03
-1.441719999999999935e+01,1.907380000000014064e-03,4.988628914456155056e-03,5.827620000000000022e-02,4.279729999999999819e-03,5.636881999999998616e-02,2.563265412174088598e-03
-1.429620000000000068e+01,1.164794000000000246e-02,5.512580855344255057e-03,7.291279999999999983e-02,4.817789999999999746e-03,6.126485999999999738e-02,2.679075811284182575e-03
-1.417520000000000024e+01,1.088245999999999658e-02,5.718396341193569647e-03,7.798819999999999364e-02,4.982420000000000425e-03,6.710573999999999706e-02,2.806340616991458408e-03
-1.405419999999999980e+01,2.744779999999988340e-03,5.739586586431813346e-03,7.621379999999999821e-02,4.930379999999999832e-03,7.346902000000000987e-02,2.938402157422976245e-03
-1.393319999999999936e+01,6.413100000000004908e-03,6.053813160441277354e-03,8.579520000000000202e-02,5.227560000000000019e-03,7.938209999999999711e-02,3.053075535903427250e-03
-1.381220000000000070e+01,1.602199999999999458e-02,6.492119467930638869e-03,1.004199999999999954e-01,5.677080000000000147e-03,8.439800000000000080e-02,3.149345624012073793e-03
-1.369130000000000003e+01,1.005440000000000500e-02,6.654188581566049775e-03,1.033990000000000048e-01,5.770489999999999647e-03,9.334459999999999980e-02,3.313558636714310918e-03
-1.357029999999999959e+01,-4.136160000000013715e-03,6.455007495426786854e-03,9.368949999999999501e-02,5.491550000000000424e-03,9.782566000000000872e-02,3.392639144311696518e-03
-1.344929999999999914e+01,-7.646400000000108665e-04,6.731113480100005264e-03,1.030200000000000005e-01,5.752860000000000265e-03,1.037846400000000113e-01,3.494637392117242412e-03
-1.332830000000000048e+01,6.397979999999997558e-03,6.905905081855672790e-03,1.104070000000000051e-01,5.953080000000000351e-03,1.040090200000000076e-01,3.500337628458146701e-03
-1.320730000000000004e+01,-1.609520000000003170e-03,6.816605838418999912e-03,1.053059999999999968e-01,5.820879999999999631e-03,1.069155200000000000e-01,3.547318872327098836e-03
-1.308629999999999960e+01,-5.591199999999962866e-04,6.872014533280615921e-03,1.073000000000000065e-01,5.876390000000000433e-03,1.078591200000000028e-01,3.562670952181803876e-03
-1.296540000000000070e+01,1.391774000000001177e-02,7.338765843754929338e-03,1.265409999999999868e-01,6.371850000000000083e-03,1.126232599999999751e-01,3.641017946531436428e-03
-1.284440000000000026e+01,5.214739999999995490e-03,7.202179948090439016e-03,1.195429999999999965e-01,6.197219999999999812e-03,1.143282600000000010e-01,3.669585845334047934e-03
-1.272339999999999982e+01,2.146339999999999359e-02,7.723046252344990294e-03,1.410970000000000002e-01,6.747799999999999979e-03,1.196336000000000066e-01,3.756679195228147198e-03
-1.260239999999999938e+01,1.186799999999998967e-02,7.590755763417763279e-03,1.342889999999999917e-01,6.570709999999999572e-03,1.224210000000000020e-01,3.800702981786395658e-03
-1.248140000000000072e+01,1.120160000000001987e-02,7.651165121625594714e-03,1.360220000000000040e-01,6.619380000000000229e-03,1.248203999999999841e-01,3.837204208011348906e-03
-1.236040000000000028e+01,1.965939999999999355e-02,7.893388702242909102e-03,1.466099999999999903e-01,6.879439999999999687e-03,1.269505999999999968e-01,3.870257160848100675e-03
-1.223949999999999960e+01,4.224800000000000777e-03,7.659931008825340663e-03,1.344879999999999964e-01,6.579690000000000018e-03,1.302631999999999957e-01,3.922017664909733907e-03
-1.211849999999999916e+01,1.991139999999999577e-02,8.026812221517083679e-03,1.515479999999999883e-01,6.991820000000000153e-03,1.316365999999999925e-01,3.942609228302496396e-03
-1.199750000000000050e+01,2.390139999999998932e-02,8.199168124819248421e-03,1.588239999999999930e-01,7.161289999999999843e-03,1.349226000000000036e-01,3.992778916362888127e-03
-1.187650000000000006e+01,1.741240000000002230e-02,8.217771887876665002e-03,1.577870000000000106e-01,7.136860000000000079e-03,1.403745999999999883e-01,4.073942088637981171e-03
-1.175549999999999962e+01,5.782000000000009354e-03,8.143159504029133175e-03,1.517739999999999922e-01,7.003340000000000259e-03,1.459919999999999829e-01,4.155030150607814075e-03
-1.163449999999999918e+01,3.476880000000001636e-02,8.766520183342531997e-03,1.837610000000000077e-01,7.697619999999999636e-03,1.489921999999999913e-01,4.195059291661084287e-03
-1.151360000000000028e+01,3.642799999999998817e-02,8.830223748647142434e-03,1.863579999999999959e-01,7.763599999999999841e-03,1.499300000000000077e-01,4.207061503136363088e-03
-1.139259999999999984e+01,2.275660000000001570e-02,8.661370542383693347e-03,1.763520000000000088e-01,7.540999999999999960e-03,1.535953999999999930e-01,4.260593699529678993e-03
-1.127159999999999940e+01,2.550380000000002090e-02,8.749152923133073079e-03,1.804330000000000100e-01,7.631549999999999966e-03,1.549291999999999891e-01,4.278682211834386635e-03
-1.115060000000000073e+01,2.500520000000000520e-02,8.723147089880579214e-03,1.794409999999999894e-01,7.604089999999999981e-03,1.544357999999999842e-01,4.274471946754593299e-03
-1.102960000000000029e+01,4.261380000000000723e-02,9.137763570768068361e-03,2.011759999999999937e-01,8.044940000000000424e-03,1.585621999999999865e-01,4.333320144145363928e-03
-1.090859999999999985e+01,3.022980000000000111e-02,9.229629306040411374e-03,2.012420000000000042e-01,8.055980000000000779e-03,1.710122000000000031e-01,4.504136250883181147e-03
-1.078769999999999918e+01,2.159219999999997808e-02,9.219852590666511097e-03,1.982589999999999908e-01,8.002179999999999363e-03,1.766668000000000127e-01,4.579388282425939614e-03
-1.066670000000000051e+01,1.963700000000001555e-02,9.263165108963782729e-03,1.990190000000000015e-01,8.031270000000000076e-03,1.793819999999999859e-01,4.615726380866180291e-03
-1.054570000000000007e+01,2.633759999999998880e-02,9.578414328546244402e-03,2.149220000000000019e-01,8.326949999999999630e-03,1.885844000000000131e-01,4.733700956630023868e-03
-1.042469999999999963e+01,2.269180000000001196e-02,9.632595086517444991e-03,2.162300000000000055e-01,8.352500000000000549e-03,1.935381999999999936e-01,4.798190476710985711e-03
-1.030369999999999919e+01,3.339840000000002251e-02,9.715241958083185164e-03,2.222969999999999946e-01,8.480909999999999491e-03,1.888985999999999721e-01,4.739207937619956124e-03
-1.018280000000000030e+01,3.206459999999999866e-02,9.809730560892076720e-03,2.262849999999999862e-01,8.552149999999999683e-03,1.942203999999999875e-01,4.805366172811391216e-03
-1.006179999999999986e+01,4.363040000000001362e-02,1.014237388876982823e-02,2.443349999999999966e-01,8.887300000000000755e-03,2.007045999999999830e-01,4.887089809856168081e-03
-9.940780000000000172e+00,4.587179999999999036e-02,1.023803648286623381e-02,2.490960000000000119e-01,8.979050000000000573e-03,2.032242000000000215e-01,4.918744974279516506e-03
